"Edit Shipping Address","Lieferadresse bearbeiten"
"Edit Billing Address","Rechnungsadresse ändern"
"Edit Payment Method","Zahlungsmethode ändern"
"Billing address associated with this payment method:","Mit dieser Zahlungsmethode verbundene Rechnungsadresse:"
"This transaction was cancelled. Please try again.","Die Transaktion wurde abgebrochen, bitte versuchen Sie es erneut."
"This transaction was declined. Please try again using a different payment method.","Die Transaktion wurde abgelehnt, bitte nutzen Sie eine andere Zahlungsmethode."
"or continue with Standard Checkout","oder verwenden Sie den Standard Checkout"
"click here to display the categories","Klicken Sie hier, um die Kategorien anzuzeigen"
"No Simulation","Keine Simulation"
"Authorization soft decline","Weiche Ablehnung für Autorisierung"
"Authorization hard decline","Harte Ablehnung für Autorisierung"
"Authorization timed out","Zeitüberschreitung bei Autorisierung"
"Capture declined","Capture abgelehnt"
"Capture pending","Capture ausstehend"
"Refund declined","Erstattung abgelehnt"
"Synchronous","Synchron"
"Asynchronous","Asynchron"
"Synchronous if Possible","Synchron, wenn möglich"
"Gold","Gold"
"Light Gray","Hellgrau"
"Dark Gray","Dunkelgrau"
"Small","Klein"
"Medium","Mittelgroß"
"Large","Groß"
"Extra Large","Extragroß"
"Login with Amazon / Amazon Pay","Login mit Amazon / Amazon Pay"
"Login / Pay","Login/Bezahlen"
"Amazon Pay Logo","Amazon Pay Logo"
"Charge when order is shipped","Abbuchung bei Versand der Bestellung"
"Charge when order is placed","Abbuchung bei Bestelleingang"
"Euro Region","Eurozone"
"United Kingdom","Vereinigtes Königreich"
"United States","Vereinigte Staaten"
"Japan","Japan"
"Data Polling via Cron Job","Datenabruf über Cron-Job"
"Instant Payment Notifications","Sofortige Zahlungsbenachrichtigungen"
"Amazon Pay","Amazon Pay"
"General","Allgemeines"
"Credentials","Anmeldeinformationen"
"Merchant Id","Händler-ID"
"Access Key Id","Access Key ID"
"Secret Access Key","Secret Access Key"
"Client Id","Client-ID"
"Client Secret","Client Secret"
"Credentials JSON","JSON-Anmeldedaten"
"Payment Region","Zahlungsregion"
"Sandbox","Sandbox"
"Allowed Javascript Origins","Zulässige JavaScript-Ursprünge"
"Allowed Return URLs","Zulässige Rückleitungs-URLs"
"Options","Optionen"
"Amazon Pay","Amazon Pay aktivieren"
"Enable Login with Amazon","Login mit Amazon aktivieren"
"Payment","Zahlung"
"Authorization Mode","Autorisierungsmodus"
"Update Mechanism","Aktualisierungsmechanismus"
"Amazon Pay button is visible on Product Page","""Amazon Pay"" ist auf der Produktseite sichtbar"
"Advanced","Erweitert"
"Frontend","Front-End"
"Button Display Language","Anzeigesprache für Schaltflächen"
"Controls button and widget language. The default is your shop's locale. Available options can be found <a href=""https://payments.amazon.co.uk/developer/documentation/lpwa/201953980#ENTER_LANGUAGE_PARAMETER"">here</a>.","Steuert die Sprache für Schaltflächen und Widgets. Die Standardeinstellung ist das Gebietsschema Ihrer Website. Verfügbare Optionen finden Sie <a href=""https://payments.amazon.de/developer/documentation/lpwa/201953980#SPRACHPARAMETER_EINGEBEN"">hier</a>."
"Button Color","Button-Farbe"
"Button Size","Größe der Schaltfläche"
"Sales Options","Verkaufsoptionen"
"New Order Status","Neuer Bestellstatus"
"Sales Exclusions","Verkaufsausschlüsse"
"Is Packing Stations Terms Validation Enabled","Überprüfung der Begriffe für Packstationen ist aktiviert"
"Packing Stations Terms","Begriffe für Packstationen"
