"A shop account for this email address already exists. Please enter your shop accounts password to log in without leaving the shop.","このEメールアドレスのショップアカウントは既に存在しています。ショップアカウントのパスワードを入力して、ログインしてください。"
"Forgot Your Password?","パスワードをお忘れですか？"
"* Required Fields","必須項目"
"Continue as Guest","ゲストとして続ける"
"Welcome back!","ようこそ！"
"Return to standard checkout","通常の購入フローに戻る"
"or continue with Standard Checkout","通常の購入フローで続ける"
"Are you an Amazon customer? Pay now with address and payment details stored in your Amazon account.","Amazonアカウントをお持ちですか？Amazonアカウントに登録されている住所情報・お支払い方法を用いてお支払いいただけます。"
"The currency selected is not supported by Amazon Pay","選択された通貨(currency)はAmazon Payでサポートされていません。"
"In order to reset your password, please <a href=""%1"">Sign Out</a> and click on “Forgot Your Password?” from the Sign In page","パスワードをリセットするためには、Sign Outをした後、Sign Inページにある“パスワードをお忘れですか？”をクリックしてください。"
"This transaction was declined. Please try again using a different payment method.","決済が失敗しました。他のお支払い方法を選択して再度お試しください。"
"This transaction was cancelled. Please try again.","決済がキャンセルされました。もう一度お試しください。"
"Edit Payment Method","お支払い方法を変更する"
"Edit Shipping Address","配送先住所を変更する"
"With Amazon Pay and Amazon Sign-in, you can easily sign-in and use the shipping and payment information stored in your Amazon account to place an order on this shop.","Amazon Payをご利用いただくと、Amazonアカウントに登録されている住所情報とお支払い方法を使ってかんたんに当ショップで注文を行うことができます。"
"or","または"
"This feature is still in beta stage. For instructions on how to activate it, contact your account manager or <a target=""_blank"" href=""https://sellercentral.amazon.com/cu/contact-us"">Amazon Pay merchant support</a>.","この機能はベータ版です。有効化したい場合は、担当のアカウントマネージャーか<a target=""_blank"" href=""https://sellercentral-japan.amazon.com/gp/contact-us/contact-amazon-form.html?communicationDeliveryId=fb75439f-d48b-4f3d-ba73-b102f20d17bc"">テクニカルサポート</a>までご連絡ください。"
"Buy Now Endpoint URL","Buy Now エンドポイントドメインの上書き"
"This URL is used to synchronize tokens with Amazon Pay. Your admin panel's URL is set by default. If your admin panel or API endpoint URL differs from this, enter the corresponding URL—including the slash at the end—in the following format:<br>https://www.example.com/","このドメイン上書きはAmazon Payとトークンを同期する際に使用されます。このフィールドのデフォルトは管理ドメインです。管理パネルまたはAPIエンドポイントドメインがこれと異なる場合は末尾のスラッシュを含め、「"<br>>https://<override-domain>/"」の形式でここに入力してください。"
"Buy Now Integration User Tokens","Buy Now インテグレーションユーザートークン"
"Generate & sync tokens","トークンの手動生成と同期"
"Buy Now Token Sync Status","Buy Now トークンの同期ステータス"
"Tokens not synced yet","Tokens not synced yet"
"Tokens synced successfully on","トークンが正常に同期されました"
"Tokens failed to sync on","トークンの同期に失敗しました"
