"Action is not available","Aktion ist nicht verfügbar"
"Error processing Amazon Login","Fehler bei der Amazon-Anmeldung"
"A shop account for this email address already exists. Please enter your shop accounts password to log in without leaving the shop.","Für diese E-Mail-Adresse ist bereits ein Shopkonto vorhanden. Geben Sie das Passwort Ihres Shopkontos ein, um sich anzumelden, ohne den Shop zu verlassen."
"Login with Amazon","Melden Sie sich bei Amazon an"
"With Amazon Pay and Login with Amazon, you can easily sign-in and use the shipping and payment information stored in your Amazon account to place an order on this shop.","Mit Amazon Pay und Login mit Amazon können Sie sich auf einfache Weise anmelden und die Liefer- und Zahlungsdaten aus Ihrem Amazon-Kundenkonto verwenden, um auf dieser Website eine Bestellung aufzugeben."
"Securely login into our website using your existing Amazon details.","Verwenden Sie Ihre Amazon-Anmeldedaten, um sich sicher bei unserer Website anzumelden."
"Welcome back!","Willkommen zurück!"
"Continue as Guest","Als Gast fortfahren"
"the email address for your Amazon account is invalid","Die E-Mail-Adresse für Ihr Amazon-Kundenkonto ist nicht gültig."
"* Required Fields","* Pflichtfelder"
"Password","Passwort"
"Ok","OK"
"Forgot Your Password?","Passwort vergessen?"
"Login with Amazon available in authentication popup","Login mit Amazon im Anmelde-Popup anzeigen"
"You will be redirected shortly...","Sie werden in Kürze weitergeleitet..."
"If you are not redirected automatically, try refreshing the page, or return to your cart and use another payment method.","Falls Sie nicht weitergeleitet werden, versuchen Sie bitte die Seite neu zu laden, oder gehen Sie zurück zum Warenkorb um ggf. eine andere Zahlungsmethode zu verwenden."
