"Edit Shipping Address","Editar la dirección de envío"
"Edit Billing Address","Cambia la Dirección de Facturación"
"Edit Payment Method","Cambia el Método de Pago"
"Billing address associated with this payment method:","Dirección de Facturación asociada a este método de pago:"
"This transaction was cancelled. Please try again.","La transacción ha sido cancelada, puede intentarlo nuevamente."
"This transaction was declined. Please try again using a different payment method.","La transacción se ha rechazado, intenta utilizar otro método de pago."
"or continue with Standard Checkout","o continúa con el Checkout Standard"
"click here to display the categories","haz clic aquí para mostrar las categorías"
"No Simulation","Sin simulación"
"Authorization soft decline","Rechazo parcial de la autorización"
"Authorization hard decline","Rechazo total de la autorización"
"Authorization timed out","Tiempo de espera de la autorización superado"
"Capture declined","Captura rechazada"
"Capture pending","Captura pendiente"
"Refund declined","Reembolso rechazado"
"Synchronous","Sincrónico"
"Asynchronous","Asincrónico"
"Synchronous if Possible","Sincrónico si es posible"
"Gold","Dorado"
"Light Gray","Gris claro"
"Dark Gray","Gris oscuro"
"Small","Pequeño"
"Medium","Mediano"
"Large","Grande"
"Extra Large","Extragrande"
"Login with Amazon / Amazon Pay","Login con Amazon / Amazon Pay"
"Login / Pay","Login / Pagar"
"Amazon Pay Logo","Logotipo de Amazon Pay"
"Charge when order is shipped","Cobrar cuando se envía el pedido"
"Charge when order is placed","Cobrar cuando se realiza el pedido"
"Euro Region","Eurozona"
"United Kingdom","Reino Unido"
"United States","Estados Unidos"
"Japan","Japón"
"Data Polling via Cron Job","Sondeo de datos mediante trabajo de Cron"
"Instant Payment Notifications","Notificaciones de pago inmediato"
"Amazon Pay","Amazon Pay"
"General","General"
"Credentials","Credenciales"
"Merchant Id","Identificador de vendedor"
"Access Key Id","ID de clave de acceso"
"Secret Access Key","Clave de acceso secreta"
"Client Id","Identificador del cliente"
"Client Secret","Secreto del cliente"
"Credentials JSON","JSON de credenciales"
"Payment Region","Región de pago"
"Sandbox","Sandbox"
"Allowed Javascript Origins","Orígenes JavaScript permitidos"
"Allowed Return URLs","URL retorno permitidas"
"Options","Opciones"
"Amazon Pay","Activar Amazon Pay"
"Enable Login with Amazon","Activar Login con Amazon"
"Payment","Pago"
"Authorization Mode","Modo de autorización"
"Update Mechanism","Actualizar mecanismo"
"Amazon Pay button is visible on Product Page","El botón Amazon Pay es visible en la página del producto"
"Advanced","Avanzado"
"Frontend","Página principal"
"Button Display Language","Idioma del botón"
"Controls button and widget language. The default is your shop's locale. Available options can be found <a href=""https://payments.amazon.co.uk/developer/documentation/lpwa/201953980#ENTER_LANGUAGE_PARAMETER"">here</a>.","Idioma del botón de controles y el widget. El valor predeterminado es el idioma de tu sitio web. Encontrarás las opciones disponibles <a href=""https://payments.amazon.co.uk/developer/documentation/lpwa/201953980#ENTER_LANGUAGE_PARAMETER"">aquí</a>."
"Button Color","Color del botón"
"Button Size","Tamaño del botón"
"Sales Options","Opciones de ventas"
"New Order Status","Estado de nuevo pedido"
"Sales Exclusions","Exclusiones de ventas"
"Is Packing Stations Terms Validation Enabled","¿Está activada la validación de los términos de las estaciones de embalaje?"
"Packing Stations Terms","Términos de las estaciones de embalaje"
"A comma-separated list of case-insensitive terms which will be used to check whether a Customer Address is a locker or packing station.","Una lista separada por comas de términos con distinción de mayúsculas que se usará para comprobar si la dirección de un cliente es una taquilla o estación de embalaje."
"Excluded Categories","Categorías excluidas"
"The ""Amazon Pay"" button will not be available for products of the selected categories.","El botón Amazon Pay no estará disponible para los productos de ciertas categorías."
"Developer Options","Opciones de desarrollador"
"Logging","Registros"
"Allowed IPs","IP admitidas"
"Comma separated. The ""Login with Amazon"" and ""Amazon Pay"" buttons will <em>only</em> be rendered for clients having the above IPs.
                            If the field is empty, the buttons will be visible to all clients.","Separado por comas. Los botones Login con Amazon y Amazon Pay se mostrarán <em>sólo</em> a los clientes que utilicen las IP anteriores.
                            Si el campo está vacío, los botones serán visibles para todos los clientes."
"Module version","Versión del módulo"
"--","--"
"Amazon Pay button in minicart","Botón de Amazon Pay en la minicesta"
"The base currency set for your store isn't supported. For more information, see Amazon Pay for Magento 2.","No se admite la divisa base establecida para tu tienda. Para obtener más información, consulta Amazon Pay para Magento 2."
"The base currency set for your store isn't supported. For more information, see Amazon Pay for Magento 2.","Vas a registrar o a conectarte a una cuenta de EE. UU. basada en la divisa de visualización del ámbito de tu tienda. Para obtener más información, consulta Amazon Pay para Magento 2 ."
"Start account connection/registration","Iniciar la conexión/el registro de la cuenta"
"My account is ready, I need to connect it to Magento","Mi cuenta está lista, sólo tengo que vincularla a Magento."
"or","o bien"
"I've already set up Amazon Pay with Magento and I want to edit my configuration.","Ya he configurado Amazon Pay con Magento y quiero editar la configuración."
"Back to account connection/registration","Volver a la conexión/registro de la cuenta"
"Updating your configuration with new keys...","Actualizando tu configuración con claves nuevas... Espera, por favor."
"For easy setup and automatic transfer of your keys and IDs from your Amazon Pay merchant account to Magento, turn on Use Secure URLs in Admin under General > Web > Base URLs (secure).","Para activar la configuración automática utilizando el intercambio seguro de claves de Amazon, accede a la página de administración de seguridad en General > Web > Utilizar URL seguras en Admin."
"Pega las credenciales de JSON aquí"
"Save Credentials","Guardar credenciales"
"Valid JSON credentials are required.","Son necesarias credenciales de JSON válidas."
"Action unavailable","Acción no disponible"
"An error occurred while matching your Amazon account with your store account. ","Se ha producido un error al vincular tu cuenta de Amazon con tu cuenta de tienda. "
"A shop account for this email address already exists. Please enter your shop accounts password to log in without leaving the shop.","Ya existe una cuenta de tienda para esta dirección de correo. Introduce la contraseña de tu cuenta de tienda para iniciar sesión sin salir de la tienda."
"Login with Amazon","Login con Amazon"
"With Amazon Pay and Amazon Sign-in, you can easily sign-in and use the shipping and payment information stored in your Amazon account to place an order on this shop.","Con Amazon Pay y Inicia sesión con Amazon podrás utilizar la información de envío y pago almacenada en tu cuenta de Amazon para realizar pedidos en la página web."
"Securely login into our website using your existing Amazon details.","Inicia sesión con seguridad en tu sitio web utilizando tus credenciales de Amazon."
"Welcome back!","¡Hola de nuevo!"
"Continue as Guest","Continuar como invitado"
"the email address for your Amazon account is invalid","La dirección de correo electrónico de tu cuenta de Amazon no es válida."
