"Amazon authorize invalid state : %1 with reason %2","Unexpected state for the Amazon Pay authorization. State: %1, Reason code: %2"
"Amazon capture declined : %1","Amazon Pay declined the capture. Reason code: %1"
"Amazon capture invalid state : %1 with reason %2","Unexpected state for the Amazon Pay capture. State: %1, Reason code: %2"
"Amazon refund invalid state : %1 with reason %2","Unexpected state for the Amazon Pay refund. State: %1, Reason code: %2"
"the country for your address is not allowed for this store","あなたの国はこのサイト上で許可されておりません。"
"Unfortunately it is not possible to pay with Amazon Pay for this order. Please choose another payment method.","残念ながら、この注文をAmazonPayでお支払いすることはできません。"
"There has been a problem with the selected payment method on your Amazon account. Please choose another one.","あなたのAmazonアカウントで選択された決済方法に問題があります。別の決済方法を選択して下さい。"
"The currency selected is not supported by Amazon Pay","現在選択されている通貨はAmazon Payによってサポートされておりません。"
"Captured amount of %1 online","オンラインで%1の売り上げが計上されました。"
"Declined amount of %1 online","オンラインで%1の売り上げが拒否されました。"
"Capture declined","キャプチャーの拒否"
"Capture declined for Order <a href=""%2"">#%1</a>","この注文のキャプチャーが拒否されました。<a href=""%2"">#%1</a>"
"Capture pending approval from the payment gateway","キャプチャーペンディングがペイメントゲートウェイより商品されました。"
"Could not find the ""multiline_count"" config of the ""street"" Customer address attribute.","顧客属性の'street'より'multiline_count'は見つかりませんでした。"
"Are you an Amazon customer? Pay now with address and payment details stored in your Amazon account.","あなたはAmazonの顧客でしょうか？今すぐ、Amazonアカウントに登録されている配送情報・支払い情報でお支払いしましょう。"
"Simulate Payment Scenarios","支払いシナリオのシミュレーション"
"Amazon could not process your request.","Amazonはあなたのリクエストを処理できません。"
"Please select a payment method.","決済方法を選択して下さい。"
"Your session has expired, please reload the page and try again.","セッションの有効期限が切れました、ページをリロードしてもう一度お試し下さい。"
"Return to standard checkout","通常の決済方法に戻る"
