"Edit Shipping Address","Modifica Indirizzo di Spedizione"
"Edit Billing Address","Modifica Indirizzo di Fatturazione"
"Edit Payment Method","Modifica Metodo di Pagamento"
"Billing address associated with this payment method:","Indirizzo di Fatturazione associato a questo metodo di pagamento:"
"This transaction was cancelled. Please try again.","La transazione è stata annullata, per favore riprova."
"This transaction was declined. Please try again using a different payment method.","La transazione è stata rifiutata, prova a utilizzare un altro metodo di pagamento."
"or continue with Standard Checkout","o continua con il Checkout Standard"
"click here to display the categories","clicca qui per visualizzare le categorie"
"No Simulation","Nessuna simulazione"
"Authorization soft decline","Autorizzazione non riuscita"
"Authorization hard decline","Autorizzazione negata"
"Authorization timed out","Autorizzazione scaduta"
"Capture declined","Acquisizione negata"
"Capture pending","Acquisizione in sospeso"
"Refund declined","Rimborso negato"
"Synchronous","Sincrono"
"Asynchronous","Asincrono"
"Synchronous if Possible","Sincrono, se possibile"
"Gold","Oro"
"Light Gray","Grigio chiaro"
"Dark Gray","Grigio scuro"
"Small","Piccolo"
"Medium","Medio"
"Large","Grande"
"Extra Large","Extra large"
"Login with Amazon / Amazon Pay","Accedi con Amazon / Amazon Pay"
"Login / Pay","Accedi e paga"
"Amazon Pay Logo","Logo Amazon Pay"
"Charge when order is shipped","Addebito alla spedizione dell'ordine"
"Charge when order is placed","Addebito quando viene effettuato l'ordine"
"Euro Region","Area dell'euro"
"United Kingdom","Regno Unito"
"United States","Stati Uniti"
"Japan","Giappone"
"Data Polling via Cron Job","Polling dei dati tramite Cron job"
"Instant Payment Notifications","Notifiche istantanee di pagamento"
"Amazon Pay","Amazon Pay"
"General","Generale"
"Credentials","Credenziali"
"Merchant Id","ID venditore"
"Access Key Id","Numero chiave d'accesso"
"Secret Access Key","Chiave d'accesso segreta"
"Client Id","ID cliente"
"Client Secret","Chiave segreta cliente"
"Credentials JSON","Credenziali JSON"
"Payment Region","Area di pagamento "
"Sandbox","Sandbox"
"Allowed Javascript Origins","Origini JavaScript consentite"
"Allowed Return URLs","URL restituiti consentiti"
"Options","Opzioni"
"Amazon Pay","Abilita Amazon Pay"
"Enable Login with Amazon","Abilita Accedi con Amazon"
"Payment","Pagamento"
"Authorization Mode","Modalità di autorizzazione"
"Update Mechanism","Meccanismo di aggiornamento"
"Amazon Pay button is visible on Product Page","Il pulsante Amazon Pay è visibile sulla pagina prodotto"
"Advanced","Avanzate"
"Frontend","Front-end"
"Button Display Language","Lingua di visualizzazione del pulsante"
"Controls button and widget language. The default is your shop's locale. Available options can be found <a href=""https://payments.amazon.co.uk/developer/documentation/lpwa/201953980#ENTER_LANGUAGE_PARAMETER"">here</a>.","Imposta la lingua dei widget e dei pulsanti. Viene utilizzata la lingua del sito dell'utente come impostazione predefinita. Per trovare le opzioni disponibili, clicca <a href=""https://payments.amazon.co.uk/developer/documentation/lpwa/201953980#ENTER_LANGUAGE_PARAMETER"">qui</a>."
"Button Color","Colore pulsante"
"Button Size","Dimensione pulsante"
"Sales Options","Opzioni di vendita"
"New Order Status","Nuovo stato ordine"
"Sales Exclusions","Esclusioni dalla vendita"
"Is Packing Stations Terms Validation Enabled","Convalida dei termini per le stazioni di imballaggio abilitata"
"Packing Stations Terms","Termini stazioni di imballaggio"
"A comma-separated list of case-insensitive terms which will be used to check whether a Customer Address is a locker or packing station.","Elenco di termini senza distinzione tra maiuscole e minuscole e separati da virgole che saranno utilizzati per verificare se l'indirizzo del cliente corrisponde a un locker o a una stazione di imballaggio."
"Excluded Categories","Categorie escluse"
"The ""Amazon Pay"" button will not be available for products of the selected categories.","Il pulsante Amazon Pay non sarà disponibile per i prodotti delle categorie selezionate."
"Developer Options","Opzioni sviluppatore"
"Logging","Registro"
"Allowed IPs","IP consentiti"
"Comma separated. The ""Login with Amazon"" and ""Amazon Pay"" buttons will <em>only</em> be rendered for clients having the above IPs.
                            If the field is empty, the buttons will be visible to all clients.","Separato da virgola. I pulsanti Accedi con Amazon e Amazon Pay saranno resi disponibili <em>solo</em> per i clienti che dispongono degli IP sopra indicati.
                            Se il campo è vuoto, i pulsanti saranno visibili a tutti i clienti."
"Module version","Versione modulo"
"--","--"
"Amazon Pay button in minicart","Pulsante Amazon Pay nel mini-carrello"
"The base currency set for your store isn't supported. For more information, see Amazon Pay for Magento 2.","La valuta base impostata per il tuo negozio non è supportata. Per maggiori informazioni, consulta Amazon Pay for Magento 2."
"You'll be connecting/registering a %1 account based on your display currency of your store scope. For more information, see Amazon Pay for Magento 2.","Effettuerai la connessione/registrazione di un account %1 in base alla valuta di visualizzazione del tuo negozio. Per maggiori informazioni, consulta Amazon Pay for Magento 2."
"Start account connection/registration","Inizia connessione/registrazione account"
"My account is ready, I need to connect it to Magento","Il mio account è pronto, devo associarlo a Magento"
"or","o"
"I've already set up Amazon Pay with Magento and I want to edit my configuration.","Ho già configurato Amazon Pay con Magento e voglio modificare la mia configurazione."
"Back to account connection/registration","Torna alla connessione/registrazione dell'account"
"Updating your configuration with new keys...","Aggiornamento della configurazione con nuove chiavi..."
"For easy setup and automatic transfer of your keys and IDs from your Amazon Pay merchant account to Magento, turn on Use Secure URLs in Admin under General > Web > Base URLs (secure).","Per una configurazione facile e il trasferimento automatico di chiavi e ID dal tuo account venditore Amazon Pay a Magento, attiva Use Secure URLs in Admin (Usa URL sicuri nel pannello di amminiztrazione) alla voce Generale > Web > Base URLs (secure) (URL base sicuri)."
"Paste JSON credentials here","Incolla credenziali JSON qui"
"Save Credentials","Salva credenziali"
"Valid JSON credentials are required.","Sono necessarie credenziali JSON valide."
"Action unavailable","Azione non disponibile"
"An error occurred while matching your Amazon account with your store account. ","Si è verificato un errore durante il collegamento del tuo account Amazon al tuo account del negozio.  "
"A shop account for this email address already exists. Please enter your shop accounts password to log in without leaving the shop.","Esiste già un account negozio per questo indirizzo e-mail. Immetti la password del tuo account negozio per accedere senza uscire dal negozio."
"Login with Amazon","Accedi con Amazon"
"With Amazon Pay and Amazon Sign-in, you can easily sign-in and use the shipping and payment information stored in your Amazon account to place an order on this shop.","Con Amazon Pay e Accedi con Amazon, puoi usare le informazioni di pagamento e spedizione registrate nel tuo account Amazon per effettuare un ordine su questo sito web."
"Securely login into our website using your existing Amazon details.","Accedi in modo sicuro al nostro sito web utilizzando i dati Amazon di cui già disponi."
"Welcome back!","Bentornato!"
"Continue as Guest","Prosegui come ospite"
"the email address for your Amazon account is invalid","L'indirizzo e-mail del tuo account Amazon non è valido."
"* Required Fields","* Campi obbligatori"
"Password","Password"
"Ok","OK"
"Forgot Your Password?","Hai dimenticato la password?"
"Login with Amazon available in authentication popup","Accedi con Amazon disponibile nel pop-up di autenticazione"
"You will be redirected shortly...","Verrai reindirizzato a breve..."
"If you are not redirected automatically, try refreshing the page, or return to your cart and use another payment method.","Se non vieni reindirizzato automaticamente, prova a ricaricare la pagina o torna al carrello e utilizza un altro metodo di pagamento."
"Amazon authorize invalid state : %1 with reason %2","Stato imprevisto per l'autorizzazione Amazon Pay. Stato: %1; Codice motivo: %2"
"Amazon capture declined : %1","Amazon Pay ha negato l'acquisizione. Codice motivo: %1"
"Amazon capture invalid state : %1 with reason %2","Stato imprevisto per l'acquisizione Amazon Pay. Stato: %1; Codice motivo: %2"
"Amazon refund invalid state : %1 with reason %2","Stato imprevisto per il rimborso Amazon Pay. Stato: %1; Codice motivo: %2"
"The store doesn't support the country that was entered. To review allowed countries, go to General > General > Allow Countries list. Enter a supported country and try again. ","Il negozio non supporta il paese in cui è stato inserito. Per esaminare i Paesi consentiti, vai a Generale > Generale > Allow Countries (Paesi consentiti). Inserisci un Paese supportato e riprova. "
"Unfortunately it is not possible to use Amazon Pay for this order, please choose another payment method.","Non è possibile utilizzare Amazon Pay per questo ordine. Seleziona un altro metodo di pagamento."
"There has been a problem with the selected payment method on your Amazon account. Please choose another one.","Si è verificato un problema con il metodo di pagamento selezionato sul tuo account Amazon. Seleziona un altro metodo di pagamento."
"The currency selected is not supported by Amazon Pay","La valuta selezionata non è supportata da Amazon Pay su questo sito."
"Captured amount of %1 online","Importo acquisito di %1 online."
"Declined amount of %1 online","L'acquisizione online dell'importo di %1 è stata negata."
"Capture declined","Acquisizione negata"
"Capture declined for Order <a href=""%2"">#%1</a>","Acquisizione negata per l'ordine <a href=""%2"">#%1</a>"
"Capture pending approval from the payment gateway","L'acquisizione è in attesa di autorizzazione da parte del gateway di pagamento. Riprova più tardi."
"Could not find the ""multiline_count"" config of the ""street"" Customer address attribute.","Impossibile trovare l'opzione config ""multiline_count"" dell'attributo ""street"" dell'indirizzo del cliente."
