"Edit Shipping Address","Editer l'adresse de livraison"
"Edit Billing Address","Modifier l’Adresse de Facturation"
"Edit Payment Method","Modifier le Mode de Paiement"
"Billing address associated with this payment method:","Adresse de Facturation associée à ce mode de paiement:"
"This transaction was cancelled. Please try again.","La transaction a été annulée, vous pouvez la réessayer."
"This transaction was declined. Please try again using a different payment method.","La transaction est refusée, veuillez essayer d'utiliser un autre mode de paiement."
"or continue with Standard Checkout","ou continuer avec le Checkout Standard"
"click here to display the categories","cliquez ici pour afficher les catégories"
"No Simulation","Aucune simulation"
"Authorization soft decline","Refus court de l'autorisation"
"Authorization hard decline","Refus long de l'autorisation"
"Authorization timed out","Autorisation expirée"
"Capture declined","Saisie rejetée"
"Capture pending","Saisie en attente"
"Refund declined","Remboursement refusé"
"Synchronous","Synchrone"
"Asynchronous","Asynchrone"
"Synchronous if Possible","Synchrone si possible"
"Gold","Doré"
"Light Gray","Gris clair"
"Dark Gray","Gris foncé"
"Small","Petit"
"Medium","Moyen"
"Large","Grand"
"Extra Large","Très grand"
"Login with Amazon / Amazon Pay","Connectez-vous avec Amazon / Amazon Pay"
"Login / Pay","Connectez-vous / Payez"
"Amazon Pay Logo","Logo Amazon Pay"
"Charge when order is shipped","Facturer lorsque la commande est expédiée"
"Charge when order is placed","Facturer lorsque la commande est passée"
"Euro Region","Région Euro"
"United Kingdom","Royaume-Uni"
"United States","États-Unis"
"Japan","Japon"
"Data Polling via Cron Job","Analyse des données via les tâches Cron"
"Instant Payment Notifications","Notifications de paiement instantané"
"Amazon Pay","Amazon Pay"
"General","Général"
"Credentials","Informations d'identification"
"Merchant Id","ID marchand"
"Access Key Id","ID de clé d'accès"
"Secret Access Key","Clé d'accès secrète"
"Client Id","Identifiant client"
"Client Secret","Secret du client"
"Credentials JSON","Informations d'identification JSON"
"Payment Region","Région de paiement"
"Sandbox","Environnement test"
"Allowed Javascript Origins","OOrigines JavaScript autorisées"
"Allowed Return URLs","URL de renvoi autorisées"
"Options","Options"
"Amazon Pay","Activer Amazon Pay"
"Enable Login with Amazon","Activer Connectez-vous avec Amazon"
"Payment","Paiement"
"Authorization Mode","Mode d'autorisation"
"Update Mechanism","Mettre à jour le mécanisme"
"Amazon Pay button is visible on Product Page","Le bouton Amazon Pay est visible sur la page du produit"
"Advanced","Avancé"
"Frontend","Avant"
"Button Display Language","Langue d'affichage du bouton"
"Controls button and widget language. The default is your shop's locale. Available options can be found <a href=""https://payments.amazon.co.uk/developer/documentation/lpwa/201953980#ENTER_LANGUAGE_PARAMETER"">here</a>.","Contrôle la langue du bouton et du widget. Il s'agit par défaut de la langue du pays de votre site. Les options disponibles se trouvent <a href=""https://payments.amazon.co.uk/developer/documentation/lpwa/201953980#ENTER_LANGUAGE_PARAMETER"">ici</a>."
"Button Color","Couleur du bouton"
"Button Size","Taille du bouton"
"Sales Options","Options de vente"
"New Order Status","Nouvel état de la commande"
"Sales Exclusions","Exclusions de vente"
